A.J. Bouye,playsFor,Houston Texans,2013,2016,0.8116
A.J. Edds,playsFor,Miami Dolphins,2010,2010,0.5327
A.J. Edds,playsFor,New England Patriots,2011,2011,0.9634
A.J. Edds,playsFor,Indianapolis Colts,2012,2012,0.7719
A.J. Edds,playsFor,Jacksonville Jaguars,2014,2014,0.6565
A.J. Feeley,playsFor,Philadelphia Eagles,2001,2003,0.6809
A.J. Feeley,playsFor,Miami Dolphins,2004,2005,0.6657
A.J. Feeley,playsFor,Philadelphia Eagles,2006,2008,0.8145
A.J. Feeley,playsFor,Carolina Panthers,2009,2009,0.9966
A.J. Feeley,playsFor,Los Angeles Rams,2010,2011,0.6454
A.J. Francis,playsFor,Miami Dolphins,2013,2013,0.6800
A.J. Francis,playsFor,Miami Dolphins,2015,2015,0.7953
A.J. Francis,playsFor,Tampa Bay Buccaneers,2016,2016,0.5989
A.J. Green,playsFor,Cincinnati Bengals,2011,2016,0.6607
A.J. Hawk,playsFor,Green Bay Packers,2006,2014,0.6049
A.J. Hawk,playsFor,Cincinnati Bengals,2015,2015,0.6265
A.J. Jefferson,playsFor,Arizona Cardinals,2010,2011,0.6079
A.J. Jefferson,playsFor,Minnesota Vikings,2012,2013,0.8980
A.J. Jenkins,playsFor,San Francisco 49ers,2012,2012,0.5960
A.J. Jenkins,playsFor,Kansas City Chiefs,2013,2014,0.8436
A.J. Johnson,playsFor,Washington Redskins,1993,1994,0.6212
A.J. Johnson,playsFor,San Diego Chargers,1995,1995,0.7513
A.J. Klein,playsFor,Carolina Panthers,2013,2016,0.6536
A.J. McCarron,playsFor,Cincinnati Bengals,2014,2016,0.8042
A.J. Ofodile,playsFor,Baltimore Ravens,1997,1999,0.8163
A.Q. Shipley,playsFor,Pittsburgh Steelers,2009,2009,0.6837
A.Q. Shipley,playsFor,Indianapolis Colts,2012,2012,0.8655
A.Q. Shipley,playsFor,Baltimore Ravens,2013,2013,0.7214
A.Q. Shipley,playsFor,Indianapolis Colts,2014,2014,0.8604
A.Q. Shipley,playsFor,Arizona Cardinals,2015,2016,0.8333
Aaron Bailey,playsFor,Indianapolis Colts,1994,1998,0.5500
Aaron Beasley,playsFor,Jacksonville Jaguars,1996,2001,0.8524
Aaron Beasley,playsFor,New York Jets,2002,2003,0.6764
Aaron Beasley,playsFor,Atlanta Falcons,2004,2004,0.5514
Aaron Berry,playsFor,Detroit Lions,2010,2011,0.5394
Aaron Berry,playsFor,New York Jets,2012,2013,0.9116
Aaron Berry,playsFor,Cleveland Browns,2014,2014,0.7853
Aaron Brewer,playsFor,Denver Broncos,2012,2015,0.5085
Aaron Brewer,playsFor,Chicago Bears,2016,2016,0.8183
Aaron Brooks,playsFor,New Orleans Saints,2000,2005,0.5231
Aaron Brown,playsFor,Detroit Lions,2009,2011,0.7335
Aaron Colvin,playsFor,Jacksonville Jaguars,2014,2016,0.5517
Aaron Craver,playsFor,Miami Dolphins,1994,1994,0.9144
Aaron Craver,playsFor,Denver Broncos,1995,1996,0.6798
Aaron Craver,playsFor,San Diego Chargers,1997,1997,0.9351
Aaron Craver,playsFor,New Orleans Saints,1998,1999,0.9081
Aaron Curry,playsFor,Seattle Seahawks,2009,2010,0.8512
Aaron Curry,playsFor,Oakland Raiders,2011,2012,0.7621
Aaron Dobson,playsFor,New England Patriots,2013,2016,0.8001
Aaron Donald,playsFor,Los Angeles Rams,2014,2016,0.8382
Aaron Elling,playsFor,Minnesota Vikings,2003,2004,0.9398
Aaron Elling,playsFor,Baltimore Ravens,2005,2005,0.6519
Aaron Francisco,playsFor,Arizona Cardinals,2006,2008,0.8721
Aaron Francisco,playsFor,Indianapolis Colts,2009,2010,0.9603
Aaron Gibson,playsFor,Detroit Lions,2000,2001,0.9920
Aaron Gibson,playsFor,Dallas Cowboys,2002,2002,0.6079
Aaron Gibson,playsFor,Chicago Bears,2003,2004,0.9952
Aaron Glenn,playsFor,New York Jets,1994,2001,0.8243
Aaron Glenn,playsFor,Houston Texans,2002,2004,0.7370
Aaron Glenn,playsFor,Dallas Cowboys,2005,2006,0.7198
Aaron Glenn,playsFor,Jacksonville Jaguars,2007,2007,0.9430
Aaron Glenn,playsFor,New Orleans Saints,2008,2008,0.9011
Aaron Graham,playsFor,Arizona Cardinals,1996,1999,0.6629
Aaron Graham,playsFor,Oakland Raiders,2001,2001,0.7424
Aaron Graham,playsFor,Tennessee Titans,2002,2002,0.8408
Aaron Hayden,playsFor,San Diego Chargers,1995,1996,0.9828
Aaron Hayden,playsFor,Green Bay Packers,1997,1997,0.8197
Aaron Hayden,playsFor,Philadelphia Eagles,1998,1998,0.5679
Aaron Hernandez,playsFor,New England Patriots,2010,2012,0.5013
Aaron Jones,playsFor,New England Patriots,1993,1995,0.8329
Aaron Jones,playsFor,Miami Dolphins,1996,1996,0.6665
Aaron Kampman,playsFor,Green Bay Packers,2002,2009,0.5026
Aaron Kampman,playsFor,Jacksonville Jaguars,2010,2011,0.7555
Aaron Laing,playsFor,San Diego Chargers,1994,1994,0.7924
Aaron Laing,playsFor,Los Angeles Rams,1996,1997,0.7478
Aaron Lynch,playsFor,San Francisco 49ers,2014,2016,0.5745
Aaron Maybin,playsFor,Buffalo Bills,2009,2010,0.8378
Aaron Maybin,playsFor,New York Jets,2011,2012,0.9943
Aaron Moorehead,playsFor,Indianapolis Colts,2003,2005,0.9726
Aaron Morgan,playsFor,Jacksonville Jaguars,2010,2011,0.8590
Aaron Morgan,playsFor,Tampa Bay Buccaneers,2012,2012,0.8759
Aaron Murray,playsFor,Kansas City Chiefs,2014,2016,0.7950
Aaron Pierce,playsFor,New York Giants,1993,1997,0.5029
Aaron Pierce,playsFor,Baltimore Ravens,1999,1999,0.6644
Aaron Rodgers,playsFor,Green Bay Packers,2006,2016,0.5229
Aaron Ross,playsFor,New York Giants,2007,2011,0.9105
Aaron Ross,playsFor,Jacksonville Jaguars,2012,2012,0.5504
Aaron Ross,playsFor,New York Giants,2013,2013,0.5961
Aaron Rouse,playsFor,Green Bay Packers,2007,2008,0.9212
Aaron Rouse,playsFor,New York Giants,2009,2009,0.7421
Aaron Schobel,playsFor,Buffalo Bills,2001,2009,0.7173
Aaron Shea,playsFor,Cleveland Browns,2000,2005,0.6533
Aaron Smith,playsFor,Pittsburgh Steelers,1999,2011,0.5824
Aaron Stecker,playsFor,Tampa Bay Buccaneers,2000,2003,0.5823
Aaron Stecker,playsFor,New Orleans Saints,2004,2008,0.6449
Aaron Stecker,playsFor,Atlanta Falcons,2009,2009,0.6404
Aaron Taylor,playsFor,Green Bay Packers,1995,1997,0.5596
Aaron Taylor,playsFor,San Diego Chargers,1998,1999,0.7690
Aaron Walker,playsFor,San Francisco 49ers,2003,2004,0.5059
Aaron Walker,playsFor,Los Angeles Rams,2005,2005,0.8256
Aaron Wallace,playsFor,Oakland Raiders,1995,1995,0.5691
Aaron Wallace,playsFor,Oakland Raiders,1997,1998,0.5132
Aaron Williams,playsFor,Buffalo Bills,2011,2016,0.7361
Abdul-Karim Al-Jabbar,playsFor,Miami Dolphins,1996,1998,0.9450
Abdul-Karim Al-Jabbar,playsFor,Cleveland Browns,1999,1999,0.9221
Abdul-Karim Al-Jabbar,playsFor,Indianapolis Colts,2000,2000,0.7969
Abdul Hodge,playsFor,Green Bay Packers,2006,2006,0.6051
